context,question,answerThe sanctions against the school were a punishing blow  and they seemed to what the efforts the school had made to change?,punishing?A.ignore B.enforce C.authoritarian D.yell at E.avoi,A
Sammy wanted to go to where the people were.  Where might he go?,people?A.race track B.populated areas C.the desert D.apartment E.roadbloc,B
To locate a choker not located in a jewelry box or boutique where would you go?,choker?A.jewelry store B.neck C.jewlery box D.jewelry box E.boutiqu,A
Google Maps and other highway and street GPS services have replaced what?,highway?A.united states B.mexico C.countryside D.atlas E.ocean,D
The fox walked from the city into the forest  what was it looking for?,fox?A.pretty flowers. B.hen house C.natural habitat D.storybook E.dense fores,C
What home entertainment equipment requires cable?,cable?A.radio shack B.substation C.cabinet D.television E.des,D
The only baggage the woman checked was a drawstring bag  where was she heading with it?,drawstring bag?A.garbage can B.military C.jewelry store D.safe E.airpor,E
The forgotten leftovers had gotten quite old  he found it covered in mold in the back of his what?,mold?A.carpet B.refrigerator C.breadbox D.fridge E.coac,B
What do people use to absorb extra ink from a fountain pen?,fountain pen?A.shirt pocket B.calligrapher's hand C.inkwell D.desk drawer E.blotte,E
Where is a business restaurant likely to be located?,restaurant?A.town B.at hotel C.mall D.business sector E.yellow page,D
Where do you put your grapes just before checking out?,grape?A.mouth B.grocery cart C.super market D.fruit basket E.fruit marke,B
Before getting a divorce  what did the wife feel who was doing all the work?,getting divorce?A.harder B.anguish C.bitterness D.tears E.sadnes,C
Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,bench?A.state park B.bus depot C.garden D.gym E.rest are,C
James was cooling off two quickly.  He would die if he didn't find some way to stop what?,cooling off?A.loss of heat B.revenge C.expansion D.relaxation E.calm dow,A
Of all the rooms in a house it was his favorite  the aromas always drew him to the what?,house?A.yard B.basement C.kitchen D.living room E.garde,C
Bill is stuck in marsh when a man comes up to him peaking Cajun  where is he?,marsh?A.low lands B.new york C.forest D.louisiana E.everglade,D
What is it called when you slowly cook using a grill?,grill?A.backyard B.restaurant C.crockpot D.neighbor's house E.barbequ,E
What type of person typically contracts illness?,illness?A.hospital B.head C.sick person D.elderly person E.doctor's offic,D
Where would you expect to find a pizzeria while shopping?,pizzeria?A.chicago B.street C.little italy D.food court E.capital citie,D
When eating everything on the tasting menu  what does one tend to feel?,eating?A.full stomach B.getting full C.gaining weight D.sick E.satisfactio,B
What does playing soccer for a long time lead to?,playing soccer?A.excitement B.fatigue C.anger D.hurting E.getting tire,E
Which entrance would you use if you do not want to use the back entrance?,back?A.side B.main C.anterior D.current E.fron,B
You can share files with someone if you have a connection to a what?,connection?A.freeway B.radio C.wires D.computer network E.electrical circui,D
The accelerator was controller via a hand throttle  and the foot pedals controlled the steering in the small what?,accelerator?A.car B.fuel system C.accelerate D.boat E.airplan,E
Sean was lying about the body  but he was very scared.  He constantly worried about what?,lying?A.the reward money B.hurt feelings C.being found out D.problems E.troubl,C
The drug kingpin told his man to run errands  this was code to go to all the dealers to do what they had?,run errands?A.park B.make time for C.receive instructions D.take money E.leave wor,D
Though he could've kept going his body appreciated the rest  it had been constantly what during the day?,rest?A.walk B.lay down C.working D.moving E.exercis,D
Too many people want exotic snakes.  The demand is driving what to carry them?,snake?A.ditch B.shop C.north america D.pet shops E.outdoor,D
Joe suffered many consequences from stabbing a stranger to death.   Among them  the family of the victim did something to him. What was that?,stabbing to death?A.knife wounds B.buy a gun C.bleeding D.jail time E.law sui,E
To prevent any glare during the big football game he made sure to clean the dust of his what?,dust?A.television B.attic C.corner D.they cannot clean corner and library during football match they cannot need that E.groun,A
